time,year,dena21,dena81
2016-01-01T00:00:00Z,2016,597.4,2872.7
2016-01-01T01:00:00Z,2016,573.6,2751.8
2016-01-01T02:00:00Z,2016,556.1,2663
2016-01-01T03:00:00Z,2016,548.8,2626.3
2016-01-01T04:00:00Z,2016,539.2,2577.9
2016-01-01T05:00:00Z,2016,522.3,2492.8
2016-01-01T06:00:00Z,2016,527.7,2519.7
2016-01-01T07:00:00Z,2016,539.9,2581.2
2016-01-01T08:00:00Z,2016,573.8,2752.7
2016-01-01T09:00:00Z,2016,611,2942.1
2016-01-01T10:00:00Z,2016,652.5,3154.2
2016-01-01T11:00:00Z,2016,665,3219
2016-01-01T12:00:00Z,2016,656,3172.2
2016-01-01T13:00:00Z,2016,651.5,3149.5
2016-01-01T14:00:00Z,2016,661.6,3201.3
2016-01-01T15:00:00Z,2016,701.9,3409.4
2016-01-01T16:00:00Z,2016,759.5,3709.1
2016-01-01T17:00:00Z,2016,769,3758.5
2016-01-01T18:00:00Z,2016,751.6,3667.5
2016-01-01T19:00:00Z,2016,717.9,3492.1
2016-01-01T20:00:00Z,2016,692.1,3358.3
2016-01-01T21:00:00Z,2016,681.4,3303.1
2016-01-01T22:00:00Z,2016,635.6,3067.9
2016-01-01T23:00:00Z,2016,587.5,2822.4
2016-01-02T00:00:00Z,2016,555.5,2659.9
2016-01-02T01:00:00Z,2016,542.8,2595.7
2016-01-02T02:00:00Z,2016,538.2,2572.7
2016-01-02T03:00:00Z,2016,550.8,2636.2
2016-01-02T04:00:00Z,2016,561.5,2690.5
2016-01-02T05:00:00Z,2016,575.7,2762.3
2016-01-02T06:00:00Z,2016,620.8,2992.2
2016-01-02T07:00:00Z,2016,678.4,3287.9
2016-01-02T08:00:00Z,2016,734.5,3578.3
2016-01-02T09:00:00Z,2016,773,3779.7
2016-01-02T10:00:00Z,2016,803.9,3941.5
2016-01-02T11:00:00Z,2016,812.5,3986.8
2016-01-02T12:00:00Z,2016,801.2,3927.6
2016-01-02T13:00:00Z,2016,791.2,3874.6
2016-01-02T14:00:00Z,2016,793.4,3886.6
2016-01-02T15:00:00Z,2016,824.5,4050
2016-01-02T16:00:00Z,2016,870.4,4293
2016-01-02T17:00:00Z,2016,873.1,4307
2016-01-02T18:00:00Z,2016,848,4173.9
2016-01-02T19:00:00Z,2016,793.8,3888.4
2016-01-02T20:00:00Z,2016,760.1,3712.2
2016-01-02T21:00:00Z,2016,748.3,3650.5
2016-01-02T22:00:00Z,2016,703.1,3415.5
2016-01-02T23:00:00Z,2016,653.3,3158.5
