time,dena21,dena81,year
01/01/2016 00:00,0.322,0.057,2016
01/01/2016 01:00,0.3,0.05,2016
01/01/2016 02:00,0.284,0.044,2016
01/01/2016 03:00,0.283,0.038,2016
01/01/2016 04:00,0.265,0.034,2016
01/01/2016 05:00,0.216,0.032,2016
01/01/2016 06:00,0.183,0.029,2016
01/01/2016 07:00,0.162,0.031,2016
01/01/2016 08:00,0.128,0.027,2016
01/01/2016 09:00,0.094,0.025,2016
01/01/2016 10:00,0.068,0.021,2016
01/01/2016 11:00,0.051,0.016,2016
01/01/2016 12:00,0.036,0.011,2016
01/01/2016 13:00,0.02,0.008,2016
01/01/2016 14:00,0.006,0.007,2016
01/01/2016 15:00,0,0.005,2016
01/01/2016 16:00,0,0.003,2016
01/01/2016 17:00,0.006,0.001,2016
01/01/2016 18:00,0.028,0.002,2016
01/01/2016 19:00,0.059,0.006,2016
01/01/2016 20:00,0.09,0.016,2016
01/01/2016 21:00,0.114,0.029,2016
01/01/2016 22:00,0.144,0.045,2016
01/01/2016 23:00,0.192,0.063,2016
02/01/2016 00:00,0.256,0.08,2016
02/01/2016 01:00,0.337,0.1,2016
02/01/2016 02:00,0.435,0.126,2016
02/01/2016 03:00,0.508,0.153,2016
02/01/2016 04:00,0.57,0.185,2016
02/01/2016 05:00,0.619,0.231,2016
02/01/2016 06:00,0.692,0.295,2016
02/01/2016 07:00,0.757,0.358,2016
02/01/2016 08:00,0.78,0.434,2016
02/01/2016 09:00,0.8,0.492,2016
02/01/2016 10:00,0.81,0.525,2016
02/01/2016 11:00,0.815,0.536,2016
02/01/2016 12:00,0.818,0.546,2016
02/01/2016 13:00,0.824,0.558,2016
02/01/2016 14:00,0.83,0.559,2016
02/01/2016 15:00,0.843,0.589,2016
02/01/2016 16:00,0.859,0.619,2016
02/01/2016 17:00,0.865,0.625,2016
02/01/2016 18:00,0.866,0.611,2016
02/01/2016 19:00,0.867,0.591,2016
02/01/2016 20:00,0.867,0.573,2016
02/01/2016 21:00,0.865,0.555,2016
02/01/2016 22:00,0.86,0.543,2016
02/01/2016 23:00,0.854,0.529,2016
